날짜,종가,오픈,고가,저가,거래량,변동 %
2003년 12월 30일,810.71,802.5,811.89,800.15,385.85M,2.31%
2003년 12월 29일,792.44,779.24,792.44,779.24,282.39M,0.46%
2003년 12월 26일,788.85,791.39,794.78,786.11,414.25M,-0.47%
2003년 12월 24일,792.55,808.41,808.58,792.37,503.66M,-1.16%
2003년 12월 23일,801.88,809.9,812.75,801.62,406.07M,-0.33%
2003년 12월 22일,804.54,809.57,815.55,804.53,344.95M,-0.82%
2003년 12월 19일,811.2,814.89,817.5,809.17,480.45M,0.46%
2003년 12월 18일,807.5,803.6,808.94,797.46,493.07M,0.93%
2003년 12월 17일,800.09,816.98,817.39,799.82,479.49M,-1.32%
2003년 12월 16일,810.79,807.32,817.56,804.17,462.74M,-1.38%
2003년 12월 15일,822.16,821.62,824.26,814.73,404.61M,1.99%
2003년 12월 12일,806.08,806.42,810.68,801.33,423.44M,1.89%
2003년 12월 11일,791.13,797.12,805.81,791.13,424.78M,-0.44%
2003년 12월 10일,794.64,774.53,794.64,774.04,454.61M,0.93%
2003년 12월 09일,787.35,790.52,793.13,784.6,398.09M,0.32%
2003년 12월 08일,784.8,780.23,791.77,777.08,339.97M,-0.58%
2003년 12월 05일,789.41,802.71,802.86,789.41,426.51M,-1.95%
2003년 12월 04일,805.13,805.1,809.68,800.31,493.94M,-0.40%
2003년 12월 03일,808.34,807.17,816.02,801.08,440.58M,0.07%
2003년 12월 02일,807.78,813.49,813.95,806.3,531.99M,0.05%
2003년 12월 01일,807.39,796.36,811.49,790.8,584.98M,1.41%
2003년 11월 28일,796.18,783.17,797.07,783.17,597.54M,1.85%
2003년 11월 27일,781.68,783.13,784.86,776.4,502.46M,-0.12%
2003년 11월 26일,782.65,769.76,783.8,769.3,532.14M,1.89%
2003년 11월 25일,768.11,768.1,770.28,761.98,526.45M,1.92%
2003년 11월 24일,753.65,765.82,769.6,752.14,577.95M,-2.22%
2003년 11월 21일,770.78,764.12,777.96,762.36,624.92M,0.17%
2003년 11월 20일,769.45,775.19,778.1,763.67,605.28M,-0.29%
2003년 11월 19일,771.7,785.28,785.28,769.43,717.18M,-3.65%
2003년 11월 18일,800.97,794.24,801.2,787.6,642.40M,0.82%
2003년 11월 17일,794.47,803.48,803.95,790.14,504.10M,-1.90%
2003년 11월 14일,809.89,809.94,818.34,807.67,597.55M,-0.40%
2003년 11월 13일,813.11,805.79,813.11,803.93,510.31M,2.11%
2003년 11월 12일,796.31,788.91,798.33,786,509.12M,1.08%
2003년 11월 11일,787.77,788.34,790.11,782.03,504.10M,-1.10%
2003년 11월 10일,796.56,800.98,802.32,788.65,537.18M,-0.93%
2003년 11월 07일,804.05,796.58,804.05,789.97,469.09M,1.77%
2003년 11월 06일,790.04,809.92,811.97,790.04,610.74M,-1.92%
2003년 11월 05일,805.51,796.36,806.79,794.58,604.29M,1.19%
2003년 11월 04일,796.06,800.42,802.66,790.99,606.37M,0.52%
2003년 11월 03일,791.96,783.08,793.53,778.04,434.45M,1.23%
2003년 10월 31일,782.36,787.95,789.46,775.38,484.31M,-0.46%
2003년 10월 30일,785.94,784.78,787.82,778.42,471.88M,0.81%
2003년 10월 29일,779.66,787.61,793.35,779.66,567.93M,0.55%
2003년 10월 28일,775.36,760.8,782.31,759.56,491.64M,1.81%
2003년 10월 27일,761.61,752.82,761.61,750.5,412.85M,1.80%
2003년 10월 24일,748.17,752.31,759.55,743.38,362.66M,-0.79%
2003년 10월 23일,754.14,764.36,768.31,750.16,428.50M,-3.23%
2003년 10월 22일,779.28,780.54,784.14,773.3,486.36M,-0.08%
2003년 10월 21일,779.89,780.56,785.02,772.91,448.31M,0.44%
2003년 10월 20일,776.44,766.33,777.97,765.13,473.20M,1.13%
2003년 10월 17일,767.75,776.99,783.08,767.75,519.24M,-1.19%
2003년 10월 16일,776.97,759.12,776.97,758.07,519.72M,1.67%
2003년 10월 15일,764.23,771.38,773.13,759.86,462.56M,-0.30%
2003년 10월 14일,766.52,763.62,772.29,762.96,529.58M,1.25%
2003년 10월 13일,757.02,754.5,764.33,747.02,453.89M,-0.11%
2003년 10월 10일,757.89,735.25,759.6,735.25,445.80M,2.95%
2003년 10월 09일,736.16,723.13,736.16,722.94,603.00M,1.85%
2003년 10월 08일,722.76,731.12,731.45,721.29,316.71M,-0.60%
2003년 10월 07일,727.09,725.21,727.37,722.38,402.77M,0.55%
2003년 10월 06일,723.13,723.47,726.77,719.33,393.28M,1.10%
2003년 10월 02일,715.24,716.27,718.36,708.03,451.45M,1.55%
2003년 10월 01일,704.29,690.47,704.29,688.62,434.30M,0.97%
2003년 09월 30일,697.52,701.75,709.16,697.52,461.26M,0.21%
2003년 09월 29일,696.06,697.26,698.77,688.07,379.96M,-0.19%
2003년 09월 26일,697.4,704.01,711.5,697.13,431.81M,-2.26%
2003년 09월 25일,713.52,707.58,714.56,699.83,412.76M,-1.54%
2003년 09월 24일,724.7,721,725.49,715.86,419.84M,0.82%
2003년 09월 23일,718.84,713.67,719.71,702.31,475.53M,0.55%
2003년 09월 22일,714.89,741.54,741.68,714.75,426.50M,-4.46%
2003년 09월 19일,748.25,766.23,767.05,745.16,443.02M,-1.31%
2003년 09월 18일,758.18,768.39,769.28,756.73,411.54M,-1.10%
2003년 09월 17일,766.59,771.61,772.35,764.46,469.80M,0.39%
2003년 09월 16일,763.63,751.95,764.12,751.53,479.46M,1.33%
2003년 09월 15일,753.61,764.68,767.27,753.61,411.24M,-1.80%
2003년 09월 09일,767.46,763.36,775.88,763.36,408.45M,0.95%
2003년 09월 08일,760.25,759.49,761.91,756.01,343.38M,-0.17%
2003년 09월 05일,761.55,766.43,768.9,759.81,376.79M,-0.34%
2003년 09월 04일,764.15,768.1,769.98,763.87,407.01M,-0.28%
2003년 09월 03일,766.32,770.87,771.78,763.35,424.95M,-0.02%
2003년 09월 02일,766.5,768.43,768.91,763.34,493.04M,0.31%
2003년 09월 01일,764.11,763.22,765.64,759.36,370.54M,0.61%
2003년 08월 29일,759.47,756.76,760.09,746.92,431.26M,0.88%
2003년 08월 28일,752.81,763.46,765.27,749.34,461.04M,-0.81%
2003년 08월 27일,758.98,757.72,763.99,756.04,497.01M,0.79%
2003년 08월 26일,753,754.23,755.63,749.2,426.88M,-0.49%
2003년 08월 25일,756.73,754.17,760.85,752.34,419.63M,0.27%
2003년 08월 22일,754.72,754.88,759.15,751.7,506.64M,0.05%
2003년 08월 21일,754.34,741.7,754.34,741.7,534.41M,2.33%
2003년 08월 20일,737.2,740.44,745.03,736.64,497.97M,-0.40%
2003년 08월 19일,740.13,745.65,745.77,738,614.97M,1.37%
2003년 08월 18일,730.1,728.92,734.81,727.56,498.36M,0.43%
2003년 08월 14일,727.01,714.2,727.01,713.46,482.91M,1.95%
2003년 08월 13일,713.08,705.58,713.81,704.93,407.92M,1.68%
2003년 08월 12일,701.3,707.01,708.08,699.94,366.11M,-0.47%
2003년 08월 11일,704.58,700.41,704.59,693.7,398.68M,0.06%
2003년 08월 08일,704.14,710.54,712.31,704.14,418.31M,-0.80%
2003년 08월 07일,709.81,709.57,709.82,703.05,412.24M,0.27%
2003년 08월 06일,707.88,710.87,713.32,705.86,464.49M,-1.93%
2003년 08월 05일,721.84,723.15,726.3,720.64,481.03M,0.46%
2003년 08월 04일,718.54,719.57,724.17,717.46,439.40M,-1.20%
2003년 08월 01일,727.26,718.84,728.38,718.25,457.00M,1.93%
2003년 07월 31일,713.52,716.5,718.49,710.01,388.89M,-0.09%
2003년 07월 30일,714.15,721.66,724.23,714.07,502.18M,-1.13%
2003년 07월 29일,722.33,718.42,722.47,715.01,566.86M,0.63%
2003년 07월 28일,717.8,715.44,719.21,714.42,466.94M,1.80%
2003년 07월 25일,705.09,698.53,705.6,696.64,489.04M,0.31%
2003년 07월 24일,702.94,693.15,705.53,690.59,732.72M,1.03%
2003년 07월 23일,695.74,702.71,703.82,693.04,571.57M,-0.57%
2003년 07월 22일,699.7,691.43,699.99,691.43,707.48M,0.89%
2003년 07월 21일,693.5,699.12,702.84,692.12,662.57M,-0.84%
2003년 07월 18일,699.35,700.52,707.43,697.67,546.27M,-2.39%
2003년 07월 16일,716.48,720.89,722.85,709.55,589.35M,0.42%
2003년 07월 15일,713.45,723.08,724.53,712.36,719.79M,-0.92%
2003년 07월 14일,720.1,709.09,720.59,705.4,559.54M,2.27%
2003년 07월 11일,704.15,694.14,704.54,691.59,560.48M,0.52%
2003년 07월 10일,700.51,701.43,710.26,700.49,577.87M,-0.71%
2003년 07월 09일,705.5,708.55,710.28,704.34,543.85M,-0.40%
2003년 07월 08일,708.34,715.54,715.8,706.12,568.61M,0.58%
2003년 07월 07일,704.29,699.32,704.31,696.76,439.45M,1.59%
2003년 07월 04일,693.25,687.03,693.95,684.64,442.80M,0.93%
2003년 07월 03일,686.83,696.54,699.34,684.94,544.33M,0.15%
2003년 07월 02일,685.8,682.57,687.04,680.68,482.62M,1.64%
2003년 07월 01일,674.75,666.45,674.75,663.35,344.51M,0.72%
2003년 06월 30일,669.93,673.66,674.9,666.91,320.73M,-1.09%
2003년 06월 27일,677.28,682.14,686.18,675.48,486.11M,0.23%
2003년 06월 26일,675.75,668.32,679.57,667.72,461.92M,0.26%
2003년 06월 25일,674.03,665.98,674.96,665.88,505.22M,1.51%
2003년 06월 24일,664.01,664.4,665.63,659.77,451.36M,-1.57%
2003년 06월 23일,674.59,685.97,686.6,673.33,471.99M,-1.69%
2003년 06월 20일,686.22,684.04,690.7,683.76,534.52M,-0.62%
2003년 06월 19일,690.49,681.03,690.59,679.06,588.42M,2.18%
2003년 06월 18일,675.75,673.84,681.38,672.52,584.10M,0.16%
2003년 06월 17일,674.66,673.76,677.58,670.33,661.65M,2.56%
2003년 06월 16일,657.82,661.6,664.01,655.86,432.73M,-1.12%
2003년 06월 13일,665.24,663.1,670.2,655.76,503.05M,1.11%
2003년 06월 12일,657.95,658.43,661.89,653.73,611.95M,1.02%
2003년 06월 11일,651.29,651.93,657.92,650.27,497.48M,0.24%
